pl_name,stars,moons,disc_year,orbital period,radius,mass,solar radius,solar mass,rotational velocity,distance,gaia magnitude
OGLE-2018-BLG-1126L b,1,0,2022,11.390966800000001,4.41,17.79839,0.95,0.69,5.66956591796875,5700.0,13.148
OGLE-2018-BLG-1185L b,1,0,2021,11.390966800000001,2.83,8.4,0.95,0.37,5.66956591796875,7400.0,13.148
OGLE-2018-BLG-1212L b,1,0,2022,11.390966800000001,9.32,63.56568,0.95,0.16,5.66956591796875,1550.0,13.148
OGLE-2018-BLG-1269L b,1,0,2020,11.390966800000001,14.1,210.0,0.95,1.11,5.66956591796875,2510.0,13.148
OGLE-2018-BLG-1367L b,1,0,2022,11.390966800000001,13.8,301.93699,0.95,0.28,5.66956591796875,5370.0,13.148
OGLE-2018-BLG-1428L b,1,0,2021,11.390966800000001,14.0,240.0,0.95,0.43,5.66956591796875,6220.0,13.148
OGLE-2018-BLG-1647L b,1,0,2022,11.390966800000001,13.8,308.29355,0.95,0.09,5.66956591796875,7880.0,13.148
OGLE-2018-BLG-1700L b,2,0,2020,11.390966800000001,12.9,1400.0,0.95,0.42,5.66956591796875,7600.0,13.148
OGLE-2019-BLG-0249L b,1,0,2023,11.390966800000001,12.7,2262.93826,0.95,0.91,5.66956591796875,6370.0,13.148
OGLE-2019-BLG-0299L b,1,0,2021,11.390966800000001,12.7,1976.89269,0.95,0.59,5.66956591796875,5830.0,13.148
OGLE-2019-BLG-0304L b,2,0,2021,11.390966800000001,14.2,162.09249,0.95,0.27,5.66956591796875,6980.0,13.148
OGLE-2019-BLG-0362L b,1,0,2022,11.390966800000001,13.1,1036.12061,0.95,0.42,5.66956591796875,5830.0,13.148
OGLE-2019-BLG-0468L b,1,0,2022,11.390966800000001,13.1,1090.15144,0.95,0.92,5.66956591796875,4400.0,13.148
OGLE-2019-BLG-0468L c,1,0,2022,11.390966800000001,12.5,3248.20632,0.95,0.92,5.66956591796875,4400.0,13.148
OGLE-2019-BLG-0679L b,1,0,2023,11.390966800000001,13.1,1061.54688,0.95,0.66,5.66956591796875,5630.0,13.148
OGLE-2019-BLG-0954L b,1,0,2021,11.390966800000001,12.3,4513.16338,0.95,0.8,5.66956591796875,3630.0,13.148
OGLE-2019-BLG-0960L b,1,0,2021,11.390966800000001,1.39,2.5,0.95,0.5,5.66956591796875,980.0,13.148
OGLE-2019-BLG-1053L b,1,0,2021,11.390966800000001,1.38,2.48,0.95,0.61,5.66956591796875,6800.0,13.148
OGLE-2019-BLG-1180L b,1,0,2023,11.390966800000001,13.5,555.24623,0.95,0.55,5.66956591796875,6070.0,13.148
OGLE-2019-BLG-1470L AB c,2,0,2022,11.390966800000001,13.3,699.2225,0.95,0.57,5.66956591796875,5900.0,13.148
OGLE-2019-BLG-1492L b,1,0,2022,11.390966800000001,6.79,37.1,0.95,0.68,5.66956591796875,5600.0,13.148
OGLE-2023-BLG-0836L b,2,0,2024,11.390966800000001,12.9,1385.73185,0.95,0.71,5.66956591796875,5120.0,13.148
OGLE-TR-10 b,1,0,2004,3.101278,14.011,197.046,1.17,1.14,7.7,1344.97,15.6845
OGLE-TR-111 b,1,0,2004,4.0144463,11.422,174.799,0.83,0.82,1.0,1068.33,16.5277
OGLE-TR-113 b,1,0,2004,1.4324752,12.251,400.449,0.77,0.78,9.0,566.459,15.443
OGLE-TR-132 b,1,0,2004,1.689868,13.45,375.02,1.32,1.3,5.66956591796875,2012.62,16.4883
OGLE-TR-182 b,1,0,2007,3.9791,12.666,320.995,1.14,1.14,5.66956591796875,2501.75,16.6783
OGLE-TR-211 b,1,0,2007,3.67724,15.244,327.351,1.64,1.33,5.66956591796875,1515.26,15.0702
OGLE-TR-56 b,1,0,2002,1.2119189,15.278,441.77,1.74,1.17,3.2,282.8391387,16.0931
OGLE2-TR-L9 b,1,0,2008,2.4855335,18.046,1430.175,1.53,1.52,39.33,1627.63,14.5637
Oph 11 b,1,0,2006,7300000.0,12.3,4449.62,0.23,0.02,5.66956591796875,136.165592,18.912
PDS 70 b,1,0,2018,43500.0,30.488,953.49,1.26,0.76,17.27,113.064,11.5848
PDS 70 c,1,0,2019,11.390966800000001,22.866,635.66,1.06,0.76,17.27,113.064,11.5848
PH1 b,4,0,2012,138.317,6.18,169.0,1.73,1.53,32.6,1033.16,13.6988
PH2 b,1,0,2013,282.52542,9.337,87.08498,0.95,0.97,1.43,343.863,12.5811
POTS-1 b,1,0,2013,3.1606296,10.548,734.16,0.59,0.69,5.3,747.959,17.2604
PSR B0329+54 b,1,0,2017,10140.0,1.22,1.97,0.95,1.44,5.66956591796875,504.9331206,20.1861
PSR B1257+12 b,1,0,1994,25.262,0.338,0.02,0.95,1.4,5.66956591796875,600.0,13.148
PSR B1257+12 c,1,0,1992,66.5419,1.91,4.3,0.95,1.4,5.66956591796875,600.0,13.148
PSR B1257+12 d,1,0,1992,98.2114,1.8,3.9,0.95,1.4,5.66956591796875,600.0,13.148
PSR B1620-26 b,2,0,2003,11.390966800000001,13.3,794.575,0.95,1.35,5.66956591796875,396.379,13.148
PSR J1719-1438 b,1,0,2011,0.09070629,2.781,382.8,0.95,1.4,5.66956591796875,1200.0,13.148
PSR J2322-2650 b,1,0,2017,0.322964,13.9,252.64307,0.95,1.4,5.66956591796875,230.0,13.148
PZ Tel b,1,0,2023,44000.0,11.9,8581.36699,1.26,1.36,73.0,47.0648,8.09894
Pr0201 b,1,0,2012,4.4264,14.2,171.6282,1.15,1.24,9.6,180.64,10.3508
Pr0211 b,2,0,2012,2.1461,13.4,597.5204,0.83,0.94,5.1,182.714,11.9281
Pr0211 c,2,0,2016,4850.0,12.6,2475.8957,0.83,0.94,5.1,182.714,11.9281
Proxima Cen b,3,0,2016,11.1868,1.03,1.07,0.14,0.12,5.66956591796875,1.30119,8.95361
Qatar-1 b,1,0,2010,1.4200242,12.812,411.27202,0.8,0.84,1.76,185.615,12.4764
