pl_name,stars,moons,disc_year,orbital period,radius,mass,equilibrium temp,solar radius,solar mass,rotational velocity,distance,gaia magnitude
Kepler-1807 b,1,0,2021,10.86060047,2.704,7.77,1108,1.5,1.09,,1299.32,13.9341
Kepler-1808 b,1,0,2021,23.3404007,3.025,9.4,601,0.89,0.77,,1022.01,15.2356
Kepler-1809 b,1,0,2021,3.7572999,1.513,2.9,877,0.72,0.81,,409.602,14.1375
Kepler-181 b,1,0,2014,3.137873,1.27,2.15,1041,0.75,0.85,,609.283,14.7137
Kepler-181 c,1,0,2014,4.302149,1.99,4.62,937,0.75,0.85,,609.283,14.7137
Kepler-1810 b,1,0,2021,101.1330032,3.918,14.6,380,1.02,0.92,,1009.87,15.2968
Kepler-1811 b,1,0,2021,76.42230225,3.848,14.1,455,1.19,0.95,,1390.56,15.1431
Kepler-1812 b,1,0,2021,7.16521978,2.325,6.01,1034,1.1,1.16,,1409.19,15.303
Kepler-1813 b,1,0,2021,2.81816006,1.413,2.58,1059,0.79,0.81,,,15.5361
Kepler-1814 b,1,0,2021,2.93535996,2.37,6.21,1022,0.82,0.79,,726.346,15.607
Kepler-1814 c,1,0,2023,0.62628177,1.76,3.75,1711,0.82,0.79,,726.346,15.607
Kepler-1815 b,1,0,2021,12.19139957,2.749,7.99,763,0.97,0.86,,1006.63,15.3701
Kepler-1816 b,1,0,2021,91.50099945,1.968,4.53,310,0.71,0.79,,437.823,14.4553
Kepler-1817 b,1,0,2021,44.29919815,2.273,5.79,463,0.92,0.88,6.6,748.569,15.1345
Kepler-1818 b,1,0,2021,4.64490986,1.714,3.58,1209,1.13,1.02,,1034.59,14.3071
Kepler-1819 b,1,0,2021,16.48690033,3.904,14.5,760,1.07,1.17,,1363.19,15.3187
Kepler-182 b,1,0,2014,9.825792,2.58,7.18,935,1.15,1.16,,1549.09,14.8737
Kepler-182 c,1,0,2014,20.684342,3.43,11.6,729,1.15,1.16,,1549.09,14.8737
Kepler-1820 b,1,0,2021,31.03249931,3.119,9.9,561,0.93,1.05,,1425.39,15.6919
Kepler-1821 b,1,0,2021,16.45809937,2.592,7.24,644,0.88,0.95,,799.699,14.6369
Kepler-1822 b,1,0,2021,22.13339996,2.648,7.5,507,0.7,0.78,,897.597,15.5694
Kepler-1823 b,1,0,2021,21.10339928,2.086,5,718,1.13,1.07,,724.971,13.3209
Kepler-1824 b,1,0,2021,95.61100006,2.381,6.26,421,1.08,1.14,,1040.1,14.6752
Kepler-1825 b,1,0,2021,1.02586997,1.422,2.61,1520,0.85,0.83,,430.254,14.3827
Kepler-1826 b,1,0,2021,1.61536002,1.475,2.78,806,0.49,0.49,,336.952,15.6654
Kepler-1827 b,1,0,2021,3.70061994,1.856,4.1,1329,1.4,0.92,,686.461,13.0059
Kepler-1828 b,1,0,2021,10.2737999,2.116,5.13,799,0.9,1,,871.81,14.8984
Kepler-1829 b,1,0,2021,5.18671989,2.479,6.71,860,0.78,0.87,,679.921,15.0088
Kepler-183 b,1,0,2014,5.687945,2.06,4.9,1088,0.96,0.94,,1050.64,14.8934
Kepler-183 c,1,0,2014,11.637071,2.27,35.7,857,0.96,0.94,,1050.64,14.8934
